bed_id,bed_number,bed_status,ward_id
1,100,Available,1
2,101,Available,1
3,102,Available,1
4,200,Available,2
5,201,Available,2
6,202,Available,2
7,203,Available,2
8,204,Available,2
9,205,Available,2
10,206,Available,2
11,207,Available,2
12,208,Available,2
13,209,Available,2
14,210,Available,2
15,300,Available,3
16,301,Available,3
17,302,Available,3
18,303,Available,3
19,304,Available,3
20,305,Available,3
21,306,Available,3
22,307,Available,3
23,308,Available,3
24,309,Available,3
25,310,Available,3
