id,ward,role,shift,group
1,"""1,2,3""",PN,morning,1
2,"""1,2""",Bed_Admission,morning,1
3,3,Bed_Admission,morning,1
4,1,RN,morning,1
5,2,RN,morning,1
6,2,RN,morning,1
7,2,RN,morning,1
8,3,RN,morning,1
9,3,RN,morning,1
10,3,RN,morning,1
11,"""1,2,3""",PN,night,1
12,"""1,2""",Bed_Admission,night,1
13,3,Bed_Admission,night,1
14,1,RN,night,1
15,2,RN,night,1
16,2,RN,night,1
17,2,RN,night,1
18,3,RN,night,1
19,3,RN,night,1
20,3,RN,night,1
21,"""1,2,3""",PN,morning,2
22,"""1,2""",Bed_Admission,morning,2
23,3,Bed_Admission,morning,2
24,1,RN,morning,2
25,2,RN,morning,2
26,2,RN,morning,2
27,2,RN,morning,2
28,3,RN,morning,2
29,3,RN,morning,2
30,3,RN,morning,2
31,"""1,2,3""",PN,night,2
32,"""1,2""",Bed_Admission,night,2
33,3,Bed_Admission,night,2
34,1,RN,night,2
35,2,RN,night,2
36,2,RN,night,2
37,2,RN,night,2
38,3,RN,night,2
39,3,RN,night,2
40,3,RN,night,2
