date,day_of_week,hour_slot,patient_count,severity,high_acuity,avg_PainGrade,Medical/Internal,Trauma/Injury,lag_2wk_avg,lag_4wk_avg,lag_8wk_avg,lag_12wk_avg,lag_8wk_severity,lag_8wk_high_acuity,lag_8wk_avg_PainGrade,lag_8wk_Medical/Internal,lag_8wk_Trauma/Injury,month,week_of_year,is_weekend,daily_cumulative_avg
2017-03-21,2,0,8,3.25,0.25,0.125,4.0,2,,,,,,,,,,3,12,0,
2017-03-21,2,1,11,3.272727272727273,0.0909090909090909,2.1818181818181817,3.0,6,,,,,,,,,,3,12,0,8.0
2017-03-21,2,2,16,2.4375,0.625,4.0,9.0,4,,,,,,,,,,3,12,0,9.5
2017-03-21,2,3,21,2.4285714285714284,0.5714285714285714,3.809523809523809,10.0,9,,,,,,,,,,3,12,0,11.666666666666666
2017-03-21,2,4,26,2.6923076923076925,0.3461538461538461,3.1666666666666665,14.0,11,,,,,,,,,,3,12,0,14.0
2017-03-21,2,5,21,2.523809523809524,0.5238095238095238,0.3333333333333333,9.0,9,,,,,,,,,,3,12,0,16.4
2017-03-22,3,0,10,3.0,0.3,0.6,7.0,3,,,,,,,,,,3,12,0,
2017-03-22,3,1,8,2.375,0.625,4.0,7.0,1,,,,,,,,,,3,12,0,10.0
2017-03-22,3,2,20,2.3,0.7,4.55,14.0,5,,,,,,,,,,3,12,0,9.0
2017-03-22,3,3,18,2.555555555555556,0.5,4.117647058823529,16.0,1,,,,,,,,,,3,12,0,12.666666666666666
2017-03-22,3,4,26,2.423076923076923,0.6538461538461539,3.5416666666666665,9.0,17,,,,,,,,,,3,12,0,14.0
2017-03-22,3,5,25,2.76,0.4,0.04,12.0,8,,,,,,,,,,3,12,0,16.4
2017-03-23,4,0,15,2.533333333333333,0.5333333333333333,0.0,9.0,5,,,,,,,,,,3,12,0,
2017-03-23,4,1,8,2.625,0.625,0.75,6.0,2,,,,,,,,,,3,12,0,15.0
2017-03-23,4,2,15,2.6,0.5333333333333333,3.6666666666666665,10.0,2,,,,,,,,,,3,12,0,11.5
2017-03-23,4,3,14,2.2857142857142856,0.7857142857142857,3.857142857142857,7.0,6,,,,,,,,,,3,12,0,12.666666666666666
2017-03-23,4,4,29,2.655172413793104,0.4482758620689655,2.321428571428572,20.0,8,,,,,,,,,,3,12,0,13.0
2017-03-23,4,5,24,2.5,0.5833333333333334,0.0,16.0,8,,,,,,,,,,3,12,0,16.2
2017-03-24,5,0,13,2.1538461538461537,0.6923076923076923,0.0,11.0,2,,,,,,,,,,3,12,0,
2017-03-24,5,1,4,3.0,0.5,2.5,4.0,0,,,,,,,,,,3,12,0,13.0
2017-03-24,5,2,19,2.421052631578948,0.631578947368421,3.842105263157895,10.0,7,,,,,,,,,,3,12,0,8.5
2017-03-24,5,3,20,2.95,0.25,3.7,6.0,11,,,,,,,,,,3,12,0,12.0
2017-03-24,5,4,26,2.576923076923077,0.4615384615384615,2.8846153846153846,13.0,12,,,,,,,,,,3,12,0,14.0
2017-03-24,5,5,16,2.5,0.5,0.0,4.0,11,,,,,,,,,,3,12,0,16.4
2017-03-25,6,0,16,2.6875,0.4375,0.0,12.0,4,,,,,,,,,,3,12,1,
2017-03-25,6,1,7,2.0,1.0,0.5714285714285714,5.0,2,,,,,,,,,,3,12,1,16.0
2017-03-25,6,2,15,2.6,0.4666666666666667,3.2142857142857144,10.0,2,,,,,,,,,,3,12,1,11.5
